Timestamp,PV,SP,OUTPUT
2026-06-22T15:37:10.619477,-3.3,67.0,95.0
2026-06-22T15:37:12.622030,-3.3,67.0,95.0
2026-06-22T15:37:14.656624,-3.3,67.0,95.0
2026-06-22T15:37:16.611147,-3.3,67.0,95.0
2026-06-22T15:37:18.629668,-3.3,67.0,95.0
2026-06-22T15:37:20.632265,-3.3,67.0,95.0
2026-06-22T15:37:22.634790,-3.3,67.0,95.0
2026-06-22T15:37:24.621346,-3.3,67.0,95.0
2026-06-22T15:37:26.639968,-3.3,67.0,95.0
2026-06-22T15:37:28.610441,-3.3,67.0,95.0
2026-06-22T15:37:30.628981,-3.3,67.0,95.0
2026-06-22T15:37:32.631594,-3.3,67.0,95.0
2026-06-22T15:37:34.618062,-3.3,67.0,95.0
2026-06-22T15:37:36.620552,-3.3,67.0,95.0
2026-06-22T15:37:38.639015,-3.3,67.0,95.0
2026-06-22T15:37:40.609681,-3.3,67.0,95.0
2026-06-22T15:37:42.628368,-3.3,67.0,95.0
2026-06-22T15:37:44.630630,-3.3,67.0,95.0
2026-06-22T15:37:46.617291,-3.3,67.0,95.0
2026-06-22T15:37:48.619738,-3.3,67.0,95.0
2026-06-22T15:37:50.606608,-3.3,67.0,95.0
2026-06-22T15:37:52.640789,-3.3,67.0,95.0
2026-06-22T15:37:54.627377,-3.3,67.0,95.0
2026-06-22T15:37:56.630301,-3.3,67.0,95.0
2026-06-22T15:37:58.616546,-3.3,67.0,95.0
2026-06-22T15:38:00.618985,-3.3,67.0,95.0
2026-06-22T15:38:02.605498,-3.3,67.0,95.0
2026-06-22T15:38:04.607995,-3.3,67.0,95.0
2026-06-22T15:38:06.626546,-3.3,67.0,95.0
2026-06-22T15:38:08.629076,-3.3,67.0,95.0
2026-06-22T15:38:10.615686,-3.3,67.0,95.0
2026-06-22T15:38:12.650134,-3.3,67.0,95.0
2026-06-22T15:38:14.636655,-3.3,67.0,95.0
2026-06-22T15:38:16.639253,-3.3,67.0,95.0
2026-06-22T15:38:18.625440,-3.3,67.0,95.0
2026-06-22T15:38:20.628102,-3.3,67.0,95.0
2026-06-22T15:38:22.614529,-3.3,67.0,95.0
2026-06-22T15:38:24.857394,-3.3,67.0,95.0
2026-06-22T15:38:26.635830,-3.3,67.0,95.0
2026-06-22T15:38:28.606165,-3.3,67.0,95.0
2026-06-22T15:38:30.624695,-3.3,67.0,95.0
2026-06-22T15:38:32.627164,-3.3,67.0,95.0
2026-06-22T15:38:34.613757,-3.3,66.0,95.0
2026-06-22T15:38:36.648285,-3.3,66.0,95.0
2026-06-22T15:38:38.602769,-3.3,66.0,95.0
2026-06-22T15:38:40.637338,-3.3,66.0,95.0
2026-06-22T15:38:42.623932,-3.3,66.0,95.0
2026-06-22T15:38:44.626459,-3.3,66.0,95.0
2026-06-22T15:38:46.612937,-3.3,66.0,95.0
2026-06-22T15:38:48.647537,-3.3,66.0,95.0
2026-06-22T15:38:50.601979,-3.3,66.0,95.0
2026-06-22T15:38:52.636562,-3.3,66.0,95.0
2026-06-22T15:38:54.623081,-3.3,66.0,95.0
2026-06-22T15:38:56.657750,-3.3,66.0,95.0
2026-06-22T15:38:58.644285,-3.3,66.0,95.0
2026-06-22T15:39:00.614754,-3.3,66.0,95.0
2026-06-22T15:39:02.809604,-3.3,66.0,95.0
2026-06-22T15:39:04.635923,-3.3,66.0,95.0
2026-06-22T15:39:06.622397,-3.3,66.0,95.0
2026-06-22T15:39:08.624911,-3.3,66.0,95.0
2026-06-22T15:39:10.611483,-3.3,66.0,95.0
2026-06-22T15:39:12.646258,-3.3,66.0,95.0
2026-06-22T15:39:14.632844,-3.3,66.0,95.0
2026-06-22T15:39:16.619280,-3.3,66.0,95.0
2026-06-22T15:39:18.621683,-3.3,66.0,95.0
2026-06-22T15:39:20.624011,-3.3,66.0,95.0
2026-06-22T15:39:22.642882,-3.3,66.0,95.0
2026-06-22T15:39:24.645093,-3.3,66.0,95.0
2026-06-22T15:39:26.631471,-3.3,66.0,95.0
2026-06-22T15:39:28.666054,-3.3,66.0,95.0
2026-06-22T15:39:30.652638,-3.3,66.0,95.0
2026-06-22T15:39:32.655157,-3.3,66.0,95.0
2026-06-22T15:39:34.642369,-3.3,66.0,95.0
2026-06-22T15:39:36.644114,-3.3,66.0,95.0
2026-06-22T15:39:38.662677,-3.3,66.0,95.0
2026-06-22T15:39:40.665291,-3.3,66.0,95.0
2026-06-22T15:39:42.683778,-3.3,66.0,95.0
2026-06-22T15:39:44.686347,-3.3,66.0,95.0
2026-06-22T15:39:46.672945,-3.3,66.0,95.0
2026-06-22T15:39:48.676194,-3.3,66.0,95.0
2026-06-22T15:39:50.662156,-3.3,66.0,95.0
2026-06-22T15:39:52.698581,-3.3,66.0,95.0
2026-06-22T15:39:54.650957,-3.3,66.0,95.0
2026-06-22T15:39:56.669657,-3.3,66.0,95.0
2026-06-22T15:39:58.672001,-3.3,66.0,95.0
2026-06-22T15:40:00.674609,-3.3,66.0,95.0
2026-06-22T15:40:02.661104,-3.3,66.0,95.0
2026-06-22T15:40:04.695866,-3.3,66.0,95.0
2026-06-22T15:40:06.682265,-3.3,66.0,95.0
2026-06-22T15:40:08.668706,-3.3,66.0,95.0
2026-06-22T15:40:10.671224,-3.3,66.0,95.0
2026-06-22T15:40:12.673757,-3.3,66.0,95.0
2026-06-22T15:40:14.660349,-3.3,66.0,95.0
2026-06-22T15:40:16.679184,-3.3,66.0,95.0
2026-06-22T15:40:18.649379,-3.3,66.0,95.0
2026-06-22T15:40:20.683893,-3.3,66.0,95.0
2026-06-22T15:40:22.702464,-3.3,66.0,95.0
2026-06-22T15:40:24.737023,-3.3,66.0,95.0
2026-06-22T15:40:26.691448,-3.3,66.0,95.0
2026-06-22T15:40:28.726153,-3.3,66.0,95.0
2026-06-22T15:40:30.712490,-3.3,66.0,95.0
2026-06-22T15:40:32.715075,-3.3,100.0,95.0
2026-06-22T15:40:34.701612,-3.3,100.0,95.0
2026-06-22T15:40:36.704141,-3.3,100.0,95.0
2026-06-22T15:40:38.722706,-3.3,100.0,95.0
2026-06-22T15:40:40.709273,-3.3,100.0,95.0
2026-06-22T15:40:42.711733,-3.3,100.0,95.0
2026-06-22T15:40:44.714343,-3.3,100.0,95.0
2026-06-22T15:40:46.700866,-3.3,100.0,95.0
2026-06-22T15:40:48.719399,-3.3,100.0,95.0
2026-06-22T15:40:50.721960,-3.3,100.0,95.0
2026-06-22T15:40:52.756516,-3.3,100.0,95.0
2026-06-22T15:40:54.743066,-3.3,100.0,95.0
2026-06-22T15:40:56.745630,-3.3,100.0,95.0
2026-06-22T15:40:58.764143,-3.3,100.0,95.0
2026-06-22T15:41:00.734625,-3.3,100.0,95.0
2026-06-22T15:41:02.929444,-3.3,100.0,95.0
2026-06-22T15:41:04.755769,-3.4,100.0,95.0
2026-06-22T15:41:06.742297,-3.4,100.0,95.0
2026-06-22T15:41:08.776940,-3.4,100.0,95.0
2026-06-22T15:41:10.731390,-3.4,100.0,95.0
2026-06-22T15:41:12.766071,-3.4,100.0,95.0
2026-06-22T15:41:14.752466,-3.4,100.0,95.0
2026-06-22T15:41:16.787079,-3.4,100.0,95.0
2026-06-22T15:41:18.805672,-3.4,100.0,95.0
2026-06-22T15:41:20.808216,-3.4,100.0,95.0
2026-06-22T15:41:22.794685,-3.4,100.0,95.0
2026-06-22T15:41:24.797207,-3.4,100.0,95.0
2026-06-22T15:41:26.783786,-3.4,100.0,95.0
2026-06-22T15:41:28.820212,-3.4,100.0,95.0
2026-06-22T15:41:30.804862,-3.4,100.0,95.0
2026-06-22T15:41:32.775369,-3.4,100.0,95.0
2026-06-22T15:41:34.793978,-3.4,100.0,95.0
2026-06-22T15:41:36.828580,-3.4,100.0,95.0
2026-06-22T15:41:38.782940,-3.4,100.0,95.0
2026-06-22T15:41:40.817589,-3.4,100.0,95.0
2026-06-22T15:41:42.803947,-3.4,100.0,95.0
2026-06-22T15:41:44.806486,-3.4,100.0,95.0
2026-06-22T15:41:46.792998,-3.4,100.0,95.0
2026-06-22T15:41:48.827522,-3.4,100.0,95.0
2026-06-22T15:41:50.782067,-3.4,100.0,95.0
2026-06-22T15:41:52.816613,-3.4,100.0,95.0
2026-06-22T15:41:54.803165,-3.4,100.0,95.0
2026-06-22T15:41:56.805698,-3.4,100.0,95.0
2026-06-22T15:41:58.792317,-3.4,100.0,95.0
2026-06-22T15:42:00.794824,-3.4,100.0,95.0
2026-06-22T15:42:02.781288,-3.4,100.0,95.0
2026-06-22T15:42:04.815866,-3.4,100.0,95.0
2026-06-22T15:42:06.802355,-3.4,100.0,95.0
2026-06-22T15:42:08.804938,-3.4,100.0,95.0
2026-06-22T15:42:10.791482,-3.4,100.0,95.0
2026-06-22T15:42:12.793989,-3.4,100.0,95.0
2026-06-22T15:42:14.780525,-3.4,100.0,95.0
2026-06-22T15:42:16.815087,-3.4,100.0,95.0
2026-06-22T15:42:18.801619,-3.4,100.0,95.0
2026-06-22T15:42:20.836120,-3.4,100.0,95.0
2026-06-22T15:42:22.790630,-3.4,100.0,95.0
2026-06-22T15:42:24.825192,-3.4,100.0,95.0
2026-06-22T15:42:26.811725,-3.4,100.0,95.0
2026-06-22T15:42:28.846151,-3.4,100.0,95.0
2026-06-22T15:42:30.832675,-3.4,100.0,95.0
2026-06-22T15:42:32.835312,-3.4,100.0,95.0
2026-06-22T15:42:34.821729,-3.4,100.0,95.0
2026-06-22T15:42:36.840349,-3.4,100.0,95.0
2026-06-22T15:42:38.842868,-3.4,100.0,95.0
